,SubjectEntity,Relation,ObjectEntity
68,"catena-(octakis(μ6-5,5,10,10,15,15-Hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-hydroxo)-dodecakis(methanol)-dodeca-dysprosium(iii) nonanitrate methanol solvate monohydrate)",hasOrganicLinkers,CCC1(CC)c2cc(ccc2-c2c1c1-c3ccc(cc3C(c1c1-c3c(C(c21)(CC)CC)cc(cc3)C(=O)[O-])(CC)CC)C(=O)[O-])C(=O)[O-]
69,"catena-(Di-cadmium(ii) bis(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodecakis(methanol)-dodeca-cadmium(ii) tetrahydrate)",hasOrganicLinkers,CCC1(CC)c2cc(ccc2-c2c1c1-c3ccc(cc3C(c1c1-c3c(C(c21)(CC)CC)cc(cc3)C(=O)[O-])(CC)CC)C(=O)[O-])C(=O)[O-]
70,"catena-(Sesqui-cadmium(ii) tris(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodecaaqua-dodeca-cadmium(ii) hexahydrate)",hasOrganicLinkers,CCC1(CC)c2cc(ccc2-c2c1c1-c3ccc(cc3C(c1c1-c3c(C(c21)(CC)CC)cc(cc3)C(=O)[O-])(CC)CC)C(=O)[O-])C(=O)[O-]
71,"catena-(Sesqui-cadmium(ii) tris(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodeca-cadmium(ii) hexahydrate)",hasOrganicLinkers,CCC1(CC)c2cc(ccc2-c2c1c1-c3ccc(cc3C(c1c1-c3c(C(c21)(CC)CC)cc(cc3)C(=O)[O-])(CC)CC)C(=O)[O-])C(=O)[O-]
74,"catena-(Sesqui-lead(ii) tris(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodecaaqua-dodeca-lead(ii) hexahydrate)",hasOrganicLinkers,CCC1(CC)c2cc(ccc2-c2c1c1-c3ccc(cc3C(c1c1-c3c(C(c21)(CC)CC)cc(cc3)C(=O)[O-])(CC)CC)C(=O)[O-])C(=O)[O-]
75,UiO-66(Ce)-Fumarate,hasOrganicLinkers,[O-]C(=O)C=CC(=O)[O-]
76,MIL-120,hasOrganicLinkers,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-]
77,CPL-2,hasOrganicLinkers,[O-]C(=O)c1nccnc1C(=O)[O-]
101,CPO-54-Mn,hasOrganicLinkers,[O-]C(=O)c1ccc2c(c1[O])ccc(c2[O])C(=O)[O-]
103,UTSA-38,hasOrganicLinkers,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]
104,IMP-14,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
105,SION-1@H2O,hasOrganicLinkers,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]
106,FIR-1,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
107,CAU-3-BDC,hasOrganicLinkers,C[O]
108,DUT-42,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
109,MET-5,hasOrganicLinkers,N1=CC=N[N]1
110,CPM-132,hasOrganicLinkers,n1ccc(cc1)C1=C2C=CC3=[N]2[Zn]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccncc2)cc1)c1ccncc1)c1ccncc1
111,CPM-133,hasOrganicLinkers,n1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccncc1)C=C3)[N]2
112,she-MOF-1,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C#Cc1c(C#Cc2ccc(cc2)C(=O)[O-])c(C#Cc2ccc(cc2)C(=O)[O-])c(c(c1C#Cc1ccc(cc1)C(=O)[O-])C#Cc1ccc(cc1)C(=O)[O-])C#Cc1ccc(cc1)C(=O)[O-]
113,she-MOF-2,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1c(c2ccc(cc2)c2ccc(cc2)C(=O)[O-])c(c2ccc(cc2)c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
114,she-MOF-3,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)c1c(c2ccc(cc2)C#Cc2ccc(cc2)C(=O)[O-])c(c2ccc(cc2)C#Cc2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-]
115,AITCS-2,hasOrganicLinkers,O=C(c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])OOC(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
116,FIR-5,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
117,FIR-4,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
118,"catena-((μ4-Pentaerythritol tetrakis(4-pyridinecarboxylate)-N,N',N'',N''')-bis(isothiocyanato)-cobalt)",hasOrganicLinkers,O=C(c1ccncc1)OCC(COC(=O)c1ccncc1)(COC(=O)c1ccncc1)COC(=O)c1ccncc1
119,NTOU-2,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
120,NTOU-3,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
121,FIR-47,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
122,"catena-[hexakis(diethylammonium)  nile blue A octakis(μ-1,3,5-benzenetribenzoato)-hexa-indium(iii) unknown solvate]",hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
123,NOF-1,hasOrganicLinkers,O=N(=O)C1=NC=C[N]1
124,"catena-[tris(μ-5-(4-pyridin-3-yl-benzoylamino)-isophthalato)-tris(aqua)-di-lanthanum(iii) N,N-dimethylformamide solvate trihydrate]",hasOrganicLinkers,O=C(c1ccc(cc1)c1cccnc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
125,"catena-[tris(μ-5-(4-pyridin-3-yl-benzoylamino)-isophthalato)-tris(aqua)-di-neodymium(iii) N,N-dimethylformamide solvate trihydrate]",hasOrganicLinkers,O=C(c1ccc(cc1)c1cccnc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
126,"catena-[tris(μ-5-(4-pyridin-3-yl-benzoylamino)-isophthalato)-tris(aqua)-di-samarium(iii) N,N-dimethylformamide solvate trihydrate]",hasOrganicLinkers,O=C(c1ccc(cc1)c1cccnc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
127,PCM-4,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
128,HENU-1,hasOrganicLinkers,[O-]C(=O)c1cnccn1
129,LMOF-202,hasOrganicLinkers,[O-]C(=O)c1ccc2-c3c(Cc2c1)cc(cc3)C(=O)[O-]
131,CPO-27-Cu,hasOrganicLinkers,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]
134,CPO-27-Mn,hasOrganicLinkers,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]
137,MMPF-7,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=N2)C(=c2n3[In]4(n5c1ccc5C(=C1[N]4=C(C=C1)C(=c3cc2)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])([O])[O])c1ccc(cc1)C(=O)[O-]
138,MMPF-8,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C1=C2C=CC(=N2)C(=c2n3[In]4(n5c1ccc5C(=C1[N]4=C(C=C1)C(=c3cc2)c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-])([O])[O])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
139,JLU-Liu10,hasOrganicLinkers,[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-]
140,JLU-Liu8,hasOrganicLinkers,[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-]
141,"catena-(bis(μ3-4,4'-Biphenyldicarboxylato-O,O',O'')-(μ2-1,2-bipyridylethene)-di-zinc(ii) bis(dimethylformamide) clathrate)|catena-(bis(μ3-Biphenyl-4,4'-dicarboxylato)-(μ2-1,2-bis(4-pyridyl)ethene)-di-zinc dimethylformamide clathrate)",hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
142,MAF-42,hasOrganicLinkers,CC1=NC(=N[N]1)CC1=[N]=C(N=N1)C
143,Medi-MOF-1,hasOrganicLinkers,COc1cc(C=CC(=O)[CH]C(=O)C=Cc2ccc(c(c2)OC)[O])ccc1[O]
144,ZJNU-17,hasOrganicLinkers,Nc1cnccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
145,"catena-[dodecakis(μ-cyano)-tris(μ-tris(isonicotinoyl)cyclotriguaiacyclene)-octa-copper(i)-tri-copper(ii) bis(cyanide) N,N-dimethylformamide solvate]",hasOrganicLinkers,COc1cc2Cc3cc(OC(=O)c4ccncc4)c(cc3Cc3c(Cc2cc1OC(=O)c1ccncc1)cc(OC)c(c3)OC(=O)c1ccncc1)OC
146,FJU-6,hasOrganicLinkers,[O-]C(=O)[C]1[CH][CH][N]C=C1
147,FJU-6-PTB,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
148,FJU-6-Me-INA,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
149,FJU-6-TATB,hasOrganicLinkers,[O-]C(=O)C1=C[CH][N][CH][CH]1
150,FJU-6-Ni,hasOrganicLinkers,[O-]C(=O)[C]1[CH][CH][N]C=C1
151,CTH-6,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1c(c2ccc(cc2)C(=O)[O-])c(c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
152,TMU-10,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-]
153,TMU-12,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-]
154,Teaching Subset: MOFs,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]
155,"catena-[bis(Oxonium) (μ-3,3 ,5,5 -azobenzentetracarboxylato)-bis(1,3-dimethylimidazolidin-2-one)-magnesium]",hasOrganicLinkers,[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]
156,FIR-35,hasOrganicLinkers,O=C1NCCN1
157,CPM-143,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
158,CPM-153,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
159,FJI-8,hasOrganicLinkers,[O-]C(=O)c1cc(N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]
160,CAU-8-ODB,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-]
161,CAU-21-BPDC,hasOrganicLinkers,O=C(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
162,BIF-22,hasOrganicLinkers,c1ncn(c1)[B](n1cncc1)(n1cncc1)n1cncc1
163,BIF-23,hasOrganicLinkers,c1ncn(c1)[B](n1cncc1)(n1cncc1)n1cncc1
164,ZJU-136-Tb,hasOrganicLinkers,[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(cc1c1ccc(cc1)C(=O)[O-])C(=O)[O-]
165,NBU-18,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]
166,AuCl-PCM-101,hasOrganicLinkers,Cl[Au][P](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
