,SubjectEntity,Relation,ObjectEntity
71,"catena-(octakis(μ6-5,5,10,10,15,15-Hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-hydroxo)-dodecakis(methanol)-dodeca-dysprosium(iii) nonanitrate methanol solvate monohydrate)",hasCrystalSystem,cubic
72,"catena-(Di-cadmium(ii) bis(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodecakis(methanol)-dodeca-cadmium(ii) tetrahydrate)",hasCrystalSystem,cubic
73,"catena-(Sesqui-cadmium(ii) tris(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodecaaqua-dodeca-cadmium(ii) hexahydrate)",hasCrystalSystem,cubic
74,"catena-(Sesqui-cadmium(ii) tris(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodeca-cadmium(ii) hexahydrate)",hasCrystalSystem,cubic
77,"catena-(Sesqui-lead(ii) tris(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodecaaqua-dodeca-lead(ii) hexahydrate)",hasCrystalSystem,cubic
78,UiO-66(Ce)-Fumarate,hasCrystalSystem,cubic
79,MIL-120,hasCrystalSystem,monoclinic
80,CPL-2,hasCrystalSystem,monoclinic
104,CPO-54-Mn,hasCrystalSystem,rhombohedral
106,UTSA-38,hasCrystalSystem,triclinic
107,IMP-14,hasCrystalSystem,monoclinic
108,SION-1@H2O,hasCrystalSystem,monoclinic
109,FIR-1,hasCrystalSystem,orthorhombic
110,CAU-3-BDC,hasCrystalSystem,rhombohedral
111,DUT-42,hasCrystalSystem,hexagonal
112,MET-5,hasCrystalSystem,cubic
113,CPM-132,hasCrystalSystem,tetragonal
114,CPM-133,hasCrystalSystem,rhombohedral
115,she-MOF-1,hasCrystalSystem,cubic
116,she-MOF-2,hasCrystalSystem,cubic
117,she-MOF-3,hasCrystalSystem,cubic
118,AITCS-2,hasCrystalSystem,trigonal
119,FIR-5,hasCrystalSystem,triclinic
120,FIR-4,hasCrystalSystem,orthorhombic
121,"catena-((μ4-Pentaerythritol tetrakis(4-pyridinecarboxylate)-N,N',N'',N''')-bis(isothiocyanato)-cobalt)",hasCrystalSystem,tetragonal
122,NTOU-2,hasCrystalSystem,orthorhombic
123,NTOU-3,hasCrystalSystem,orthorhombic
124,FIR-47,hasCrystalSystem,monoclinic
125,"catena-[hexakis(diethylammonium)  nile blue A octakis(μ-1,3,5-benzenetribenzoato)-hexa-indium(iii) unknown solvate]",hasCrystalSystem,rhombohedral
126,NOF-1,hasCrystalSystem,cubic
127,"catena-[tris(μ-5-(4-pyridin-3-yl-benzoylamino)-isophthalato)-tris(aqua)-di-lanthanum(iii) N,N-dimethylformamide solvate trihydrate]",hasCrystalSystem,triclinic
128,"catena-[tris(μ-5-(4-pyridin-3-yl-benzoylamino)-isophthalato)-tris(aqua)-di-neodymium(iii) N,N-dimethylformamide solvate trihydrate]",hasCrystalSystem,triclinic
129,"catena-[tris(μ-5-(4-pyridin-3-yl-benzoylamino)-isophthalato)-tris(aqua)-di-samarium(iii) N,N-dimethylformamide solvate trihydrate]",hasCrystalSystem,triclinic
130,PCM-4,hasCrystalSystem,cubic
131,HENU-1,hasCrystalSystem,triclinic
132,LMOF-202,hasCrystalSystem,monoclinic
134,CPO-27-Cu,hasCrystalSystem,rhombohedral
137,CPO-27-Mn,hasCrystalSystem,rhombohedral
140,MMPF-7,hasCrystalSystem,monoclinic
141,MMPF-8,hasCrystalSystem,monoclinic
142,JLU-Liu10,hasCrystalSystem,cubic
143,JLU-Liu8,hasCrystalSystem,rhombohedral
144,"catena-(bis(μ3-4,4'-Biphenyldicarboxylato-O,O',O'')-(μ2-1,2-bipyridylethene)-di-zinc(ii) bis(dimethylformamide) clathrate)|catena-(bis(μ3-Biphenyl-4,4'-dicarboxylato)-(μ2-1,2-bis(4-pyridyl)ethene)-di-zinc dimethylformamide clathrate)",hasCrystalSystem,monoclinic
145,MAF-42,hasCrystalSystem,monoclinic
146,Medi-MOF-1,hasCrystalSystem,trigonal
147,ZJNU-17,hasCrystalSystem,hexagonal
148,"catena-[dodecakis(μ-cyano)-tris(μ-tris(isonicotinoyl)cyclotriguaiacyclene)-octa-copper(i)-tri-copper(ii) bis(cyanide) N,N-dimethylformamide solvate]",hasCrystalSystem,rhombohedral
149,FJU-6,hasCrystalSystem,tetragonal
150,FJU-6-PTB,hasCrystalSystem,tetragonal
151,FJU-6-Me-INA,hasCrystalSystem,tetragonal
152,FJU-6-TATB,hasCrystalSystem,tetragonal
153,FJU-6-Ni,hasCrystalSystem,tetragonal
154,CTH-6,hasCrystalSystem,monoclinic
155,TMU-10,hasCrystalSystem,monoclinic
156,TMU-12,hasCrystalSystem,monoclinic
157,Teaching Subset: MOFs,hasCrystalSystem,orthorhombic
158,"catena-[bis(Oxonium) (μ-3,3 ,5,5 -azobenzentetracarboxylato)-bis(1,3-dimethylimidazolidin-2-one)-magnesium]",hasCrystalSystem,monoclinic
159,FIR-35,hasCrystalSystem,triclinic
160,CPM-143,hasCrystalSystem,hexagonal
161,CPM-153,hasCrystalSystem,hexagonal
162,FJI-8,hasCrystalSystem,rhombohedral
163,CAU-8-ODB,hasCrystalSystem,tetragonal
164,CAU-21-BPDC,hasCrystalSystem,tetragonal
165,BIF-22,hasCrystalSystem,orthorhombic
166,BIF-23,hasCrystalSystem,monoclinic
167,ZJU-136-Tb,hasCrystalSystem,triclinic
168,NBU-18,hasCrystalSystem,monoclinic
169,AuCl-PCM-101,hasCrystalSystem,orthorhombic
170,JCM-1,hasCrystalSystem,tetragonal
171,MOF-818,hasCrystalSystem,cubic
172,SNU-151,hasCrystalSystem,triclinic
173,SNU-150',hasCrystalSystem,cubic
174,"catena-[bis(μ-2,4,6-tri(pyridin-4-yl)-1,3,5-triazine)-hexachloro-tri-zinc tetrakis(piperonyl methyl ketone)]",hasCrystalSystem,monoclinic
175,MFM-305-CH3.0.71CO2,hasCrystalSystem,tetragonal
176,FJI-H21,hasCrystalSystem,orthorhombic
177,"catena-[(μ4-Oxalato-O,O,O',O'',O'',O''')-tetrakis(μ3-3-pyridinecarboxylato-N,O,O')-(μ2-oxalato-O,O',O'',O''')-di-copper(i)-di-europium(iii) tetrahydrate]",hasCrystalSystem,monoclinic
178,"catena-[(μ-2,8,14,20-tetramethyl-4,6,10,12,16,18,22,24-octakis(carboxylatomethoxy)calix(4)arene)-octaaqua-bis(N,N-dimethylformamide)-tetra-cobalt pentahydrate]",hasCrystalSystem,trigonal
179,"catena-[(μ-2,8,14,20-tetramethyl-4,6,10,12,16,18,22,24-octakis(carboxylatomethoxy)calix(4)arene)-octaaqua-bis(N,N-dimethylformamide)-tetra-nickel hexahydrate]",hasCrystalSystem,trigonal
180,"catena-[dimethylammonium (μ-2,8,14,20-tetramethyl-4,6,10,12,16,18,22-heptakis(carboxylatomethoxy)-24-(carboxymethoxy)calix(4)arene)-hexaaqua-(N,N-dimethylformamide)-tri-manganese octahydrate]",hasCrystalSystem,triclinic
181,CPM-107as,hasCrystalSystem,orthorhombic
182,ZJU-70,hasCrystalSystem,orthorhombic
183,HKUST-1,hasCrystalSystem,cubic
184,MIL-53(Al)-FA|BasoliteA520,hasCrystalSystem,monoclinic
185,AUBM-3(La),hasCrystalSystem,triclinic
186,FJU-12,hasCrystalSystem,orthorhombic
187,JUC-135,hasCrystalSystem,rhombohedral
188,LCU-107,hasCrystalSystem,monoclinic
189,FJI-H26,hasCrystalSystem,hexagonal
190,the activated NJU-Bai62,hasCrystalSystem,monoclinic
191,NJU-Bai62,hasCrystalSystem,triclinic
192,NJU-Bai63,hasCrystalSystem,monoclinic
193,SU-101,hasCrystalSystem,tetragonal
194,UWDM-1(22),hasCrystalSystem,rhombohedral
195,"catena-(diaqua-bis(μ6-s-heptazine-2,5,8-tris(4-benzoato))-tri-zinc N,N-dimethylformamide solvate pentahydrate)",hasCrystalSystem,cubic
196,Teaching Subset: MOFs,hasCrystalSystem,cubic
197,"catena-(octakis(μ4-Benzene-1,4-dicarboxylato)-dodecakis(μ2-hydroxo)-octa-iron ibuprofen)",hasCrystalSystem,triclinic
198,SNU-200,hasCrystalSystem,tetragonal
199,MIL-53as p-xylene,hasCrystalSystem,orthorhombic
200,NKU-521,hasCrystalSystem,hexagonal
201,catena-[hexakis(dimethylammonium) tris(μ-meso-tetra(4-carboxylatophenyl)porphyrinato)-bis(aqua)-bis(μ-adenine)-bis(μ-oxido)-nona-zinc(ii) unknown solvate],hasCrystalSystem,triclinic
202,"catena-[tetrakis(dimethylammonium) tris(μ-meso-tetra(4-carboxylatophenyl)porphyrinato)-dodecakis(μ-2H-1,2,3-triazolyl)-dodecakis(aqua)-trideca-zinc(ii) unknown solvate]",hasCrystalSystem,triclinic
203,DUT-13,hasCrystalSystem,rhombohedral
204,ZJU-68,hasCrystalSystem,trigonal
205,SLUG-23,hasCrystalSystem,triclinic
206,NJU-Bai20,hasCrystalSystem,cubic
207,SIFSIX-1-Cu-C2D2,hasCrystalSystem,tetragonal
208,SCIF-9,hasCrystalSystem,orthorhombic
209,GaMOF-1,hasCrystalSystem,cubic
210,BUT-20,hasCrystalSystem,rhombohedral
211,TMOF-2a,hasCrystalSystem,monoclinic
212,PCM-11,hasCrystalSystem,monoclinic
213,MAF-X27-Cl,hasCrystalSystem,rhombohedral
214,ROD-1,hasCrystalSystem,tetragonal
215,np-CFA-9,hasCrystalSystem,orthorhombic
216,NOTT-400,hasCrystalSystem,tetragonal
217,TMOF-1,hasCrystalSystem,monoclinic
218,WUF-1,hasCrystalSystem,monoclinic
219,"catena-[(μ5-5-(Pyridin-3-ylethynyl)benzene-1,3-dicarboxylato-N,O,O',O'',O''')-copper(ii) dimethylformamide solvate hydrate]",hasCrystalSystem,rhombohedral
220,"catena-[(μ5-5-(Pyridin-3-ylethynyl)benzene-1,3-dicarboxylato-N,O,O',O'',O''')-copper(ii)]",hasCrystalSystem,rhombohedral
221,catena-[(μ-tetrakis(4-cyanophenyl)adamantane)-silver tetrafluoroborate nitromethane solvate],hasCrystalSystem,hexagonal
222,catena-[(μ-tetrakis(4-cyanophenyl)adamantane)-silver trifluoroacetate nitromethane solvate],hasCrystalSystem,hexagonal
223,catena-[(μ-tetrakis(4-cyanophenyl)adamantane)-silver tetrafluoroborate nitromethane solvate],hasCrystalSystem,monoclinic
224,MFM-188a desolvated,hasCrystalSystem,tetragonal
225,MFM-188,hasCrystalSystem,tetragonal
228,"catena-[(μ5-5-Aminoisophthalato)-(μ2-5-aminoisophthalato)-(2,2'-bipyridine)-di-cobalt(ii) dihydrate]",hasCrystalSystem,monoclinic
229,MFM-300V(iii),hasCrystalSystem,tetragonal
231,MFM-300V(iv),hasCrystalSystem,tetragonal
232,FJI-C4,hasCrystalSystem,orthorhombic
233,"catena-[bis(μ4-5-Hydroxyisophthalato-O,O,O',O'',O'',O''')-(μ4-5-hydroxyisophthalato-O,O',O'',O''')-diaqua-di-praseodymium(iii)]",hasCrystalSystem,tetragonal
234,MIL-88,hasCrystalSystem,hexagonal
235,DMOF-1,hasCrystalSystem,monoclinic
236,DMOF-2,hasCrystalSystem,monoclinic
237,DMOF-3,hasCrystalSystem,triclinic
238,DMOF-4,hasCrystalSystem,monoclinic
239,DMOF-5,hasCrystalSystem,monoclinic
240,DMOF-6,hasCrystalSystem,monoclinic
241,DMOF-9,hasCrystalSystem,monoclinic
242,DMOF-11,hasCrystalSystem,monoclinic
243,CMOF-2,hasCrystalSystem,tetragonal
244,Mn-ZIF-8,hasCrystalSystem,cubic
245,catena-[tetrakis(μ-isonicotinato)-di-manganese(ii) methanol solvate],hasCrystalSystem,monoclinic
246,catena-[(μ-hydrogen gallato)-iron(ii) hydrate],hasCrystalSystem,trigonal
247,catena-[tris(μ-gallato)-tri-iron(iii) hydrate],hasCrystalSystem,trigonal
248,catena-[(μ-gallato)-bis(μ-hydrogen gallato)-tri-iron hydrate],hasCrystalSystem,trigonal
249,GWMOF-3,hasCrystalSystem,triclinic
250,CPM-4,hasCrystalSystem,hexagonal
251,CPM-30,hasCrystalSystem,trigonal
252,CPM-31,hasCrystalSystem,trigonal
253,"catena-[(μ4-Carnosinato)-zinc(ii) N,N-dimethylformamide solvate]",hasCrystalSystem,monoclinic
254,catena-[(μ4-Carnosinato)-zinc(ii)],hasCrystalSystem,monoclinic
255,catena-[(μ4-Carnosinato)-zinc(ii) methanol solvate],hasCrystalSystem,monoclinic
256,catena-[bis(μ4-Carnosinato)-di-zinc(ii) hexahydrate],hasCrystalSystem,monoclinic
257,HKUST-1|Teaching Subset: MOFs,hasCrystalSystem,cubic
258,PCP-2,hasCrystalSystem,trigonal
259,Hf-CAU-39,hasCrystalSystem,cubic
260,TMU-42,hasCrystalSystem,triclinic
261,MIL-53(In)_(OH)2_lp_DMF,hasCrystalSystem,orthorhombic
262,PCN-777,hasCrystalSystem,cubic
263,BUT-173,hasCrystalSystem,monoclinic
264,HKUST-1 (as synthesised),hasCrystalSystem,cubic
265,MFM-300(V(iii)).(NO2)1.67,hasCrystalSystem,tetragonal
266,Co6-MOF-1,hasCrystalSystem,hexagonal
267,Ce-MIL-140-BDC,hasCrystalSystem,triclinic
268,In-MOF 1,hasCrystalSystem,orthorhombic
269,FJU-66.S,hasCrystalSystem,tetragonal
270,FJU-66.[EVIm]OH,hasCrystalSystem,tetragonal
271,MMPF-1,hasCrystalSystem,tetragonal
272,493-MOF-BA,hasCrystalSystem,tetragonal
273,"catena-[bis(μ6-4,4'-(Hexafluoroisopropylidene)diphthalato)-(μ5-4,4'-(hexafluoroisopropylidene)diphthalato)-nona-aqua-tetra-terbium(iii) heptahydrate]",hasCrystalSystem,triclinic
274,catena-[(μ4-Mucicato)-bis(μ2-mucicato)-diaqua-di-terbium(iii) tetrahydrate],hasCrystalSystem,triclinic
275,NENU-519,hasCrystalSystem,tetragonal
276,BUT-14,hasCrystalSystem,tetragonal
277,BUT-15,hasCrystalSystem,tetragonal
278,DUT-98 close pore,hasCrystalSystem,triclinic
279,NUM-3,hasCrystalSystem,rhombohedral
280,catena-((μ4-Gallato)-manganese(ii) dihydrate),hasCrystalSystem,trigonal
281,catena-[bis(μ4-Gallato)-di-manganese(ii) tetrahydrate],hasCrystalSystem,trigonal
282,catena-[(μ4-Gallato)-manganese(ii) dihydrate],hasCrystalSystem,trigonal
283,catena-((μ4-Gallato)-nickel(ii) dihydrate),hasCrystalSystem,trigonal
284,catena-[bis(μ4-Gallato)-di-nickel(ii) tetrahydrate],hasCrystalSystem,trigonal
285,PCM-16,hasCrystalSystem,monoclinic
286,PCN-605-H,hasCrystalSystem,orthorhombic
287,SEC-1,hasCrystalSystem,monoclinic
288,UPC-22,hasCrystalSystem,monoclinic
289,HPU-13,hasCrystalSystem,trigonal
290,YZ-7,hasCrystalSystem,monoclinic
291,YZ-8,hasCrystalSystem,monoclinic
292,FJU-36,hasCrystalSystem,orthorhombic
293,MCOF-89,hasCrystalSystem,cubic
294,UTSA-32,hasCrystalSystem,monoclinic
295,BUT-62Y,hasCrystalSystem,orthorhombic
296,BUT-62Y-H2O,hasCrystalSystem,orthorhombic
297,BUT-63W,hasCrystalSystem,orthorhombic
298,Toluene@BUT-62,hasCrystalSystem,orthorhombic
299,Ni-IRMOF-74-II,hasCrystalSystem,rhombohedral
300,Ni-IRMOF-74-III,hasCrystalSystem,rhombohedral
301,Ni-IRMOF-74-IV,hasCrystalSystem,rhombohedral
302,Ni-IRMOF-74-V,hasCrystalSystem,rhombohedral
303,BUT-62,hasCrystalSystem,orthorhombic
304,BIT-101,hasCrystalSystem,cubic
305,BIT-103,hasCrystalSystem,cubic
306,ZIF-65-SOD,hasCrystalSystem,cubic
307,ZIF-71-RHO,hasCrystalSystem,cubic
308,ZIF-74-GIS,hasCrystalSystem,tetragonal
309,catena-(tris(μ2-5-(4-pyridyl)dipyrrin)-gallium(iii)-silver(i) hexafluorophosphate acetonitrile benzene unknown solvate),hasCrystalSystem,orthorhombic
310,catena-(tris(μ2-5-(4-pyridyl)dipyrrin)-gallium(iii)-silver(i) hexafluorophosphate acetonitrile benzene solvate),hasCrystalSystem,monoclinic
311,PCN-136,hasCrystalSystem,cubic
312,"catena-[bis(μ4-3,4-Dioxocyclobut-1-ene-1,2-dithiolato-S,S,S,S',S')-bis(μ4-3,4-dioxocyclobut-1-ene-1,2-dithiolato-O,S,S,S')-tetrakis(N-methylethylenediamine-N,N')-tetra-copper(i)-di-copper(ii) dihydrate]",hasCrystalSystem,triclinic
313,RPF-4,hasCrystalSystem,orthorhombic
314,NJU-Bai49,hasCrystalSystem,rhombohedral
315,CPM-74,hasCrystalSystem,hexagonal
316,CPM-75,hasCrystalSystem,orthorhombic
317,Ce-HHU-1,hasCrystalSystem,cubic
318,SCNU-1,hasCrystalSystem,cubic
319,catena-[(μ-benzenehexacarboxylato)-decaaqua-tri-barium tetrahydrate],hasCrystalSystem,monoclinic
320,Al-CAU-42,hasCrystalSystem,cubic
321,NENU-522,hasCrystalSystem,rhombohedral
322,BMM-12,hasCrystalSystem,orthorhombic
323,CSMCRI-5,hasCrystalSystem,monoclinic
324,TMU-71,hasCrystalSystem,monoclinic
325,MIL-118B,hasCrystalSystem,orthorhombic
326,MIL-118C,hasCrystalSystem,orthorhombic
327,MIL-53lt,hasCrystalSystem,monoclinic
328,MFU-5,hasCrystalSystem,hexagonal
329,NTOU-2S,hasCrystalSystem,orthorhombic
330,MIL-60,hasCrystalSystem,triclinic
331,MCF-26,hasCrystalSystem,hexagonal
332,PCN-610,hasCrystalSystem,cubic
333,"catena-[(μ4-tetrakis(Imidazol-1-yl)borate-N3,N3',N3'',N3''')-(μ2-terephthalato-O,O')-(μ2-imidazolyl-N1,N3)-di-zinc(ii) N,N'-dimethylpropyleneurea solvate]|MC-BIF-1S",hasCrystalSystem,tetragonal
334,MC-BIF-3H,hasCrystalSystem,monoclinic
335,LMOF-261,hasCrystalSystem,tetragonal
336,MFM-136,hasCrystalSystem,rhombohedral
337,"catena-[bis(μ2-2-Aminoisonicotinato-N:O,O')-cadmium(ii) unknown solvate]",hasCrystalSystem,orthorhombic
338,"catena-[bis(μ2-2-Aminoisonicotinato-N:O,O')-cobalt(ii) unknown solvate]",hasCrystalSystem,orthorhombic
339,CPM-500,hasCrystalSystem,hexagonal
340,CPM-550,hasCrystalSystem,hexagonal
341,CPM-560,hasCrystalSystem,hexagonal
342,"catena-[(μ5-5-(Isonicotinamido)isophthalato-N,O,O',O'',O''')-zinc(ii) dimethylformamide solvate]",hasCrystalSystem,monoclinic
343,JUC-188,hasCrystalSystem,triclinic
344,CPM-15-Cd,hasCrystalSystem,cubic
345,UTSA-34,hasCrystalSystem,orthorhombic
346,catena-[tris(μ4-Terephthalato)-di-scandium(iii)],hasCrystalSystem,monoclinic
348,catena-[tris(μ4-Terephthalato)-di-scandium(iii)],hasCrystalSystem,orthorhombic
355,FIR-45,hasCrystalSystem,monoclinic
356,MET-2,hasCrystalSystem,cubic
357,CAU-7-TATB,hasCrystalSystem,orthorhombic
358,CAU-35,hasCrystalSystem,orthorhombic
359,PCN-605-H-Br,hasCrystalSystem,orthorhombic
360,PCN-605-H-Dry,hasCrystalSystem,orthorhombic
361,PCN-606-NH2 (fresh),hasCrystalSystem,orthorhombic
362,PCN-608-OH,hasCrystalSystem,hexagonal
363,PCN-606-OMe (fresh),hasCrystalSystem,orthorhombic
364,PCN-700-Br,hasCrystalSystem,tetragonal
365,MUV-2,hasCrystalSystem,hexagonal
366,NTU-20,hasCrystalSystem,tetragonal
367,NPF-300(Hf),hasCrystalSystem,orthorhombic
368,NPF-300,hasCrystalSystem,orthorhombic
369,NPF-300-LT,hasCrystalSystem,orthorhombic
370,HPU-3,hasCrystalSystem,cubic
371,Mn-CFA-6-DMAc,hasCrystalSystem,monoclinic
372,ZJNU-81,hasCrystalSystem,orthorhombic
373,Zr-PCN-221(Cu),hasCrystalSystem,cubic
374,"catena-[tris(μ-(S,S)-serimox)-bis(μ-hydroxo)-(μ-aqua)-calcium(ii)-hexa-copper(ii) Auramine O clathrate acetonitrile solvate pentadecahydrate]",hasCrystalSystem,hexagonal
375,Co-CAU-36,hasCrystalSystem,tetragonal
385,UPC-102-Zr,hasCrystalSystem,hexagonal
386,VNU 22,hasCrystalSystem,orthorhombic
387,UPC-99,hasCrystalSystem,orthorhombic
388,ZJU-158-Tb,hasCrystalSystem,monoclinic
389,PCN-12',hasCrystalSystem,hexagonal
390,"catena-[bis(μ4-1,5-pentanedioato-O,O',O'',O''')-(μ2-N,N'-bis(4-pyridyl)piperazine-N,N')-di-copper(ii) tetrahydrate]",hasCrystalSystem,monoclinic
391,UWDM-3,hasCrystalSystem,monoclinic
392,α-IRMOF-3-AMPh,hasCrystalSystem,cubic
393,BUT-2,hasCrystalSystem,cubic
394,BUT-48,hasCrystalSystem,rhombohedral
395,BUT-49,hasCrystalSystem,rhombohedral
396,ZTIF-14,hasCrystalSystem,tetragonal
397,ZTIF-15,hasCrystalSystem,tetragonal
398,JUC-65,hasCrystalSystem,orthorhombic
399,JUC-66,hasCrystalSystem,orthorhombic
400,JUC-67,hasCrystalSystem,orthorhombic
401,JUC-70,hasCrystalSystem,monoclinic
402,"catena-((μ3-Homophthalato-O,O',O'')-(μ3-oxo)-tetramethyl-di-tin(iv) hydrate)",hasCrystalSystem,rhombohedral
403,rtl-MOF-2,hasCrystalSystem,monoclinic
404,"catena-[(μ4-Oxalato-O,O,O',O'',O'',O''')-tetrakis(μ3-3-pyridinecarboxylato-N,O,O')-(μ2-oxalato-O,O',O'',O''')-di-samarium(iii)-di-silver(i) tetrahydrate]",hasCrystalSystem,monoclinic
405,FJI-H8,hasCrystalSystem,tetragonal
406,MCF-56,hasCrystalSystem,monoclinic
407,MCF-57,hasCrystalSystem,monoclinic
408,UPC-15,hasCrystalSystem,cubic
409,CAU-46,hasCrystalSystem,monoclinic
412,SNU-81,hasCrystalSystem,monoclinic
413,SNU-82,hasCrystalSystem,monoclinic
414,SNU-84,hasCrystalSystem,monoclinic
415,SNU-85,hasCrystalSystem,monoclinic
416,SNU-86,hasCrystalSystem,monoclinic
417,SNNU-21,hasCrystalSystem,orthorhombic
418,SNNU-23,hasCrystalSystem,orthorhombic
