,SubjectEntity,Relation,ObjectEntity
66,BUT-15,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
67,DUT-98 close pore,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
68,PCN-605-H,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
69,SEC-1,hasMOFFamily,Zn-oxide/zinc oxide
70,UTSA-32,hasMOFFamily,Zn-oxide/zinc oxide
71,BUT-62Y,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
72,BUT-62Y-H2O,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
73,BUT-63W,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
74,Toluene@BUT-62,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
75,Ni-IRMOF-74-II,hasMOFFamily,MOF-74/CPO-27
76,Ni-IRMOF-74-III,hasMOFFamily,MOF-74/CPO-27
77,Ni-IRMOF-74-IV,hasMOFFamily,MOF-74/CPO-27
78,Ni-IRMOF-74-V,hasMOFFamily,MOF-74/CPO-27
79,BUT-62,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
80,BIT-101,hasMOFFamily,Zn-oxide/zinc oxide
81,BIT-103,hasMOFFamily,Zn-oxide/zinc oxide
82,ZIF-65-SOD,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
83,ZIF-71-RHO,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
84,ZIF-74-GIS,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
85,PCN-136,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
86,CPM-74,hasMOFFamily,"Zn-oxide/zinc oxide, MOF-74/CPO-27"
87,CPM-75,hasMOFFamily,"Zn-oxide/zinc oxide, MOF-74/CPO-27"
88,NENU-522,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
89,TMU-71,hasMOFFamily,Zn-oxide/zinc oxide
90,MCF-26,hasMOFFamily,Zn-oxide/zinc oxide
91,MC-BIF-3H,hasMOFFamily,Zn-oxide/zinc oxide
92,"catena-[(μ5-5-(Isonicotinamido)isophthalato-N,O,O',O'',O''')-zinc(ii) dimethylformamide solvate]",hasMOFFamily,Zn-oxide/zinc oxide
93,UTSA-34,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
94,PCN-605-H-Br,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
95,PCN-605-H-Dry,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
96,PCN-606-NH2 (fresh),hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
97,PCN-608-OH,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
98,PCN-606-OMe (fresh),hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
99,PCN-700-Br,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
100,NPF-300,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
101,NPF-300-LT,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
102,Zr-PCN-221(Cu),hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
103,"catena-[tris(μ-(S,S)-serimox)-bis(μ-hydroxo)-(μ-aqua)-calcium(ii)-hexa-copper(ii) Auramine O clathrate acetonitrile solvate pentadecahydrate]",hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
104,UPC-102-Zr,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
105,"catena-[bis(μ4-1,5-pentanedioato-O,O',O'',O''')-(μ2-N,N'-bis(4-pyridyl)piperazine-N,N')-di-copper(ii) tetrahydrate]",hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
106,UWDM-3,hasMOFFamily,Zn-oxide/zinc oxide
107,α-IRMOF-3-AMPh,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
108,FJI-H8,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
109,SNU-81,hasMOFFamily,Zn-oxide/zinc oxide
110,SNU-82,hasMOFFamily,Zn-oxide/zinc oxide
111,SNU-84,hasMOFFamily,Zn-oxide/zinc oxide
112,SNU-85,hasMOFFamily,Zn-oxide/zinc oxide
113,SNU-86,hasMOFFamily,Zn-oxide/zinc oxide
114,SNNU-23,hasMOFFamily,Zn-oxide/zinc oxide
115,ECUT-30,hasMOFFamily,Zn-oxide/zinc oxide
116,Zr-bcu-26ndc,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
117,Zr-bcu-tmuc,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
118,Zr-bcu-22bipy44dc,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
119,MOF-F,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
120,NU-1401-AS-DMF,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
121,MAF-6,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
122,FIR-28,hasMOFFamily,Zn-oxide/zinc oxide
123,polyMOP-NH2,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
124,PCN-700-c,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
125,PCN-700-(CF3)2,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
126,PCN-700-Me4-c,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
127,NTU-17,hasMOFFamily,"Zn-oxide/zinc oxide, MOF-74/CPO-27"
128,ST-1,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
129,ST-3,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
130,BUT-17,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
131,MUF-22,hasMOFFamily,Zn-oxide/zinc oxide
132,ZIF-8 dinitrogen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
133,SDU-1,hasMOFFamily,Zn-oxide/zinc oxide
134,ZJU-30,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
135,MOF-3,hasMOFFamily,Zn-oxide/zinc oxide
136,PCN-164-inter,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
137,JLU-Liu4,hasMOFFamily,Zn-oxide/zinc oxide
138,Liu-4_cinnamic (close pore phase),hasMOFFamily,Zn-oxide/zinc oxide
139,UPC-21,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
140,CPO-27-Ni,hasMOFFamily,MOF-74/CPO-27
141,PCN-81,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
142,MMPF-10,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
143,MORF-1,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
144,NU-1000,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
145,ZTOF-1,hasMOFFamily,Zn-oxide/zinc oxide
146,ZTOF-2,hasMOFFamily,Zn-oxide/zinc oxide
147,PCN-608-NH2-BDC,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
148,TMU-46,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
149,TO-MOF,hasMOFFamily,Zn-oxide/zinc oxide
150,NOTT-116,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
151,FJU-31,hasMOFFamily,Zn-oxide/zinc oxide
152,catena-(oxonium pyrrolidinium bis(μ6-5-phosphonoisophthalato)-tri-zinc tetrahydrate),hasMOFFamily,Zn-oxide/zinc oxide
153,D-NTU-18,hasMOFFamily,Zn-oxide/zinc oxide
154,L-NTU-18,hasMOFFamily,Zn-oxide/zinc oxide
155,MOF-177-OMe,hasMOFFamily,Zn-oxide/zinc oxide
156,α-Zn|MCF-51,hasMOFFamily,Zn-oxide/zinc oxide
157,MOF-5,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
178,α-ZIF-65 unknown solvate,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
180,β-ZIF-65 unknown solvate,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
183,CPO-27-Co,hasMOFFamily,MOF-74/CPO-27
184,CPO-27-Mg,hasMOFFamily,MOF-74/CPO-27
185,CPO-27-Cu carbon dioxide,hasMOFFamily,MOF-74/CPO-27
320,TMU-16,hasMOFFamily,Zn-oxide/zinc oxide
538,CPO-27-Co carbon dioxide,hasMOFFamily,MOF-74/CPO-27
545,CPO-27-Ni carbon dioxide,hasMOFFamily,MOF-74/CPO-27
559,BUT-72,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
560,BUT-74,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
561,PMOF-2(Zn),hasMOFFamily,Zn-oxide/zinc oxide
562,JLU-Liu16,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
563,JLU-Liu17,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
564,γ-MUF-10,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
565,LIFM-38,hasMOFFamily,Zn-oxide/zinc oxide
566,ZIF-8-6.05Ar,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
567,ZIF-8 unknown solvate,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
568,ZIF-8 6.32Ar,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
569,ZIF-8 8.27methane,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
570,ZIF-8 9.76methane,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
571,ZIF-8 3.25methane,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
572,ZIF-8 4.22dinitrogen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
573,ZIF-8 4.44dinitrogen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
574,ZIF-8 5.63dinitrogen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
575,ZIF-8 6.21dinitrogen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
576,ZIF-8 5.9Ar,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
577,ZIF-8 6.23dinitrogen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
578,ZIF-8 6.29dinitrogen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
579,ZIF-8 5.5dinitrogen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
580,ZIF-8 10.08methane,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
581,ZIF-8 6.06dioxygen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
582,ZIF-8 6.18dioxygen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
583,ZIF-8 8.16dioxygen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
584,ZIF-8 8.40dioxygen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
585,ZIF-8 8.25dinitrogen,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
586,ZIF-8 5.5methane,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
587,ZIF-8 4.08methane,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
588,PCN-609,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
589,Zr-UiO-66-PZDC,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
590,PUM210,hasMOFFamily,Zn-oxide/zinc oxide
591,IFMC-200,hasMOFFamily,Zn-oxide/zinc oxide
592,PCN-38,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
593,ZJNU-91,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
594,NTU-Z11,hasMOFFamily,Zn-oxide/zinc oxide
595,NTU-Z10,hasMOFFamily,Zn-oxide/zinc oxide
596,NTU-Z8,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
597,IRMOF-23terp,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
598,IRMOF-25terPh,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
599,IRMOF-pentane,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
600,"catena-((μ8-2,5-Dioxyterephthalato)-di-nickel(ii) carbon dioxide)",hasMOFFamily,MOF-74/CPO-27
601,IRMOF-61,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
602,IRMOF-62,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
603,MAC-6,hasMOFFamily,Zn-oxide/zinc oxide
604,PCN-516,hasMOFFamily,Zn-oxide/zinc oxide
605,PCN-513,hasMOFFamily,Zn-oxide/zinc oxide
606,ZIF-8,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
607,ZIF8,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
609,MAF-4,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
611,JUC-62,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
612,NKU-103,hasMOFFamily,Zn-oxide/zinc oxide
613,CH4@DUT49cp,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
614,CH4@DUT49ip,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
615,UTSA-74a,hasMOFFamily,"Zn-oxide/zinc oxide, MOF-74/CPO-27"
616,NJU-Bai2,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
617,TPMOF-1,hasMOFFamily,Zn-oxide/zinc oxide
618,TPMOF-2,hasMOFFamily,Zn-oxide/zinc oxide
619,TPMOF-5,hasMOFFamily,Zn-oxide/zinc oxide
620,truMOF-2,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
621,UTSA-20,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
622,NU-GRH-1,hasMOFFamily,Zn-oxide/zinc oxide
623,Zn-MOF-74,hasMOFFamily,"Zn-oxide/zinc oxide, MOF-74/CPO-27"
624,Ni-MOF-74,hasMOFFamily,MOF-74/CPO-27
625,Co-MOF-74,hasMOFFamily,MOF-74/CPO-27
626,Mn-MOF-74,hasMOFFamily,MOF-74/CPO-27
627,MMPF-18,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
628,JLU-31,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
629,FIR-2,hasMOFFamily,Zn-oxide/zinc oxide
630,IPM-MOF-110,hasMOFFamily,Zn-oxide/zinc oxide
631,SION-10,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
632,MTAF-3,hasMOFFamily,Zn-oxide/zinc oxide
633,PCN-111,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
634,Zn-Pd-2,hasMOFFamily,Zn-oxide/zinc oxide
635,BMOF-2-dioxole,hasMOFFamily,Zn-oxide/zinc oxide
636,BMM-9,hasMOFFamily,Zn-oxide/zinc oxide
637,IRMOF-9,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
638,BUT-36,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
639,EHU-30,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
640,IMP-32-Zr,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
641,catena-(bis(oxonium)) bis(μ6-5-phosphonoisophthalato)-tri-zinc(ii)|catena-(bis(μ6-5-phosphonoisophthato)-tri-zinc(ii) bis(oxonium)),hasMOFFamily,Zn-oxide/zinc oxide
642,MOF-545,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
643,UTSA-85,hasMOFFamily,Zn-oxide/zinc oxide
644,Zn-DBDA,hasMOFFamily,Zn-oxide/zinc oxide
645,TIF-5Co,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
646,TIF-5Zn,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
647,ZIF-9,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
650,Co-ZIF-9,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
652,DUT-7(LT),hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
653,DUT-7(RT),hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
654,IRMOF-74-II,hasMOFFamily,MOF-74/CPO-27
655,IRMOF-74-III,hasMOFFamily,MOF-74/CPO-27
656,IRMOF-74-IV,hasMOFFamily,MOF-74/CPO-27
657,IRMOF-74-V-hex,hasMOFFamily,MOF-74/CPO-27
658,IRMOF-74-VI,hasMOFFamily,"Zn-oxide/zinc oxide, MOF-74/CPO-27"
659,IRMOF-74-VII,hasMOFFamily,MOF-74/CPO-27
660,IRMOF-74-VI-oeg,hasMOFFamily,MOF-74/CPO-27
661,IRMOF-74-IX,hasMOFFamily,MOF-74/CPO-27
662,IRMOF-74-XI,hasMOFFamily,MOF-74/CPO-27
663,D-ZIF-7,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
664,D-ZIF-7 CO2,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
667,TMU-41,hasMOFFamily,Zn-oxide/zinc oxide
668,JLU-MOF60,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
669,CPM-72,hasMOFFamily,"Zn-oxide/zinc oxide, MOF-74/CPO-27"
670,CPM-73,hasMOFFamily,"Zn-oxide/zinc oxide, MOF-74/CPO-27"
671,LIFM-114-Methanol,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
672,LIFM-114-60C,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
673,HUST4,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
674,HUST1,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
675,PCN-700,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
676,UiO-66,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
677,IRMOF-77,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
678,CTGU-3,hasMOFFamily,Zn-oxide/zinc oxide
679,CTGU-4,hasMOFFamily,Zn-oxide/zinc oxide
680,MOF-5|Teaching Subset: MOFs,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
682,Zr-CAU-28,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
683,"catena-[(μ8-2,5-Dioxidobenzene-1,4-dicarboxylato)-cobalt(ii)]",hasMOFFamily,MOF-74/CPO-27
684,UPC-30,hasMOFFamily,Zn-oxide/zinc oxide
685,PCN-700-SA,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
686,PCN-700-SA2,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
687,CHD-2,hasMOFFamily,Zn-oxide/zinc oxide
688,TMU-6(RL1),hasMOFFamily,Zn-oxide/zinc oxide
689,ZIF-4-Co,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
690,UMCM-151-F,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
691,UMCM-151-Cl,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
692,CAU-27-BDC,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
693,CAU-27-BPDC,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
694,DUT-122(Zr),hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
695,"catena-[(μ3-2,5-Dihydroxybenzene-1,4-dicarboxylato-O,O',O'')-(μ2-4,4'-bipyridine-N,N')-zinc(ii) N,N-dimethylformamide solvate]",hasMOFFamily,Zn-oxide/zinc oxide
696,ρ-ZMOF,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
697,ZJNU-78,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
698,"catena-[tris(μ-2,2'-[(1,2-dioxoethane-1,2-diyl)diimino]bis(3-hydroxypropanoato))-bis(μ-hydroxo)-(μ-aqua)-triaqua-calcium-hexa-copper(ii) bis(ascorbic acid) clathrate acetonitrile solvate dodecahydrate]|catena-[tris(μ-2,2'-[(1,2-dioxoethane-1,2-diyl)diimino]bis(3-hydroxypropanoato))-bis(μ-hydroxo)-(μ-aqua)-triaqua-calcium-hexa-copper(ii) bis(vitamin C) clathrate acetonitrile solvate dodecahydrate]",hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
699,"catena-[tris(μ-2,2'-[(1,2-dioxoethane-1,2-diyl)diimino]bis(3-hydroxypropanoato))-bis(μ-hydroxo)-(μ-aqua)-triaqua-calcium-hexa-copper(ii) bis(pyridoxine) clathrate acetonitrile solvate pentadecahydrate]|catena-[tris(μ-2,2'-[(1,2-dioxoethane-1,2-diyl)diimino]bis(3-hydroxypropanoato))-bis(μ-hydroxo)-(μ-aqua)-triaqua-calcium-hexa-copper(ii) bis(vitamin B6) clathrate acetonitrile solvate pentadecahydrate]",hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
700,"catena-[bupropion tris(μ-2,2'-[(1,2-dioxoethane-1,2-diyl)diimino]bis(3-hydroxypropanoato))-bis(μ-hydroxo)-(μ-aqua)-calcium-hexa-copper(ii) clathrate docosahydrate]",hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
701,"catena-[17-β-estradiol tris(μ-2,2'-[(1,2-dioxoethane-1,2-diyl)diimino]bis(3-hydroxypropanoato))-tetrakis(μ-aqua)-bis(μ-hydroxo)-calcium-hexa-copper(ii) acetonitrile solvate hexahydrate]",hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
702,PCN-13,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
703,NU-1000-C8H7NO4S,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
704,NU-1000-C7H8O3S,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
705,HPU-14,hasMOFFamily,Zn-oxide/zinc oxide
706,CPO-27-Mg|MOF-74-Mg,hasMOFFamily,MOF-74/CPO-27
715,FJI-9,hasMOFFamily,Zn-oxide/zinc oxide
716,JUC-103,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
717,MOF-1004,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
718,ZIF-204,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
719,UTSA-36,hasMOFFamily,Zn-oxide/zinc oxide
720,ZJU-198,hasMOFFamily,Zn-oxide/zinc oxide
721,ZIF-8 iodine solvate,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
723,SNU-30,hasMOFFamily,Zn-oxide/zinc oxide
724,SNU-30SC,hasMOFFamily,Zn-oxide/zinc oxide
725,TCZ-002,hasMOFFamily,Zn-oxide/zinc oxide
726,MUF-84g,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
727,MUF-84c,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
728,ZIF-1,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
729,ZIF-2,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
730,ZIF-4-Zn,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
